name,sub_network,category,lock_family,jump_desc,d,X,C_AB,R_obs,chosen_lock,prime_value,err_before,R_corr_eta,err_after_eta,R_corr_kappa,err_after_kappa,jump_type,log_residual_eta,p,q,exp_a_2,exp_b_3,exp_c_5,exp_d_7,exp_other
(BEDT-TTF)2Cu(NCS)2,single,SC_Molecular,rational,thermal@Tc→gap(Δ),3,14.4231,0,1.8411,rational,1.875,0.0184121,1.83894,0.0196089,,,,-0.0194193,15,8,,,,,
(BEDT-TTF)2Cu(NCS)2,single,SC_Molecular,rational,gap(Δ)→Debye,2,14.4231,0,7.83394,rational,7.875,0.00524138,7.82781,0.00602861,,,,-0.00601041,63,8,,,,,
(BEDT-TTF)2Cu(NCS)2,single,SC_Molecular,rational,Debye→electronic(E_F),1,14.4231,0,11.6045,rational,11.5714,0.00285144,11.6,0.00246115,,,,0.00246856,81,7,,,,,
(BEDT-TTF)2Cu[N(CN)2]Br,single,SC_Molecular,rational,thermal@Tc→gap(Δ),3,13.3621,0,1.84072,rational,1.875,0.018625,1.83872,0.0197339,,,,-0.019539,15,8,,,,,
(BEDT-TTF)2Cu[N(CN)2]Br,single,SC_Molecular,rational,gap(Δ)→Debye,2,13.3621,0,7.25917,rational,7.2,0.00815061,7.2539,0.00743105,,,,0.00745823,36,5,,,,,
(BEDT-TTF)2Cu[N(CN)2]Br,single,SC_Molecular,rational,Debye→electronic(E_F),1,13.3621,0,11.2302,rational,11.25,0.00176499,11.2261,0.00212823,,,,-0.0021267,45,4,,,,,
(La0.5Y0.5)H8,single,SC_HighPressure,mixed,thermal@Tc→gap(Δ),3,6.48276,0,1.92075,rational,1.875,0.0238177,1.91973,0.0233024,,,,0.0235759,15,8,,,,,
(La0.5Y0.5)H8,single,SC_HighPressure,mixed,gap(Δ)→Debye,2,6.48276,0,3.37512,rational,3.375,3.62044e-05,3.37394,0.000315621,,,,-0.000314123,27,8,,,,,
(La0.5Y0.5)H8,single,SC_HighPressure,mixed,Debye→electronic(E_F),1,6.48276,0,76.5404,rational,76.8,0.00339117,76.527,0.00356765,,,,-0.00356102,384,5,,,,,
(La0.925Sr0.075)2CuO4,single,SC_Oxide,mixed,thermal@Tc→gap(Δ),3,17.5,0,1.85672,rational,1.875,0.00984374,1.85408,0.011284,,,,-0.01122,15,8,,,,,
(La0.925Sr0.075)2CuO4,single,SC_Oxide,mixed,gap(Δ)→Debye,2,17.5,0,9.42521,rational,9.375,0.00532702,9.41626,0.00438174,,,,0.00439141,75,8,,,,,
(La0.925Sr0.075)2CuO4,single,SC_Oxide,mixed,Debye→electronic(E_F),1,17.5,0,49.7336,integer,50,0.00535555,49.71,0.00583304,,,,-0.00581689,,,1,0,2,0,
